Code;Density
ABW;588.027777777778
AFG;56.937760009803
AGO;24.7130520574316
ALB;104.612262773723
AND;163.842553191489
ARB;37.3723656324824
ARE;135.609110109828
ARG;16.2585100979651
ARM;103.680224798033
ASM;277.325
ATG;218.831818181818
AUS;3.24787091037205
AUT;107.127966860564
AZE;120.23431716463
BDI;435.178271028037
BEL;377.379590488771
BEN;101.853919829727
BFA;72.1912828947368
BGD;1239.57931166936
BGR;64.7110998526161
BHR;2017.27369979138
BHS;38.5254745254745
BIH;64.92048828125
BLR;46.7195037884204
BLZ;16.7939938623411
BMU;1183.70368279874
BOL;10.4801458506416
BRA;25.0617162430876
BRB;666.606976744186
BRN;81.3969639468691
BTN;19.7775277714448
BWA;3.97742487604327
CAF;7.49041221227006
CAN;4.07518823864492
CEB;92.7891540721796
CHE;215.465350480429
CHI;861.106093786457
CHL;25.1894460666519
CHN;148.348833270666
CIV;78.8340534591195
CMR;53.3439889149796
COD;37.0825923557045
COG;15.3568462664715
COL;44.7487021180712
COM;447.244477540227
CPV;134.929776674938
CRI;97.9130630630631
CSS;18.1770161788317
CUB;108.999596231494
CUW;
CYM;267.391666666667
CYP;128.708333333333
CZE;137.657705257705
DEU;237.30759674834
DJI;41.3684210526316
DMA;95.5
DNK;137.976565849012
DOM;219.97857586421
DZA;17.7300750711665
EAP;130.809797542712
EAR;98.111144728063
EAS;95.428211475338
ECA;17.7575359364548
ECS;33.4651318902801
ECU;68.7886817522951
EGY;98.8734692852479
EMU;127.60466912955
ERI;
ESP;93.6771974435832
EST;30.4112491373361
ETH;109.224559
EUU;111.784864172318
FCS;47.1192202909152
FIN;18.1485472672831
FJI;48.3570333880679
FRA;122.299437237519
FRO;34.7399698278226
FSM;160.914285714286
GAB;8.22476423332169
GBR;274.708981936924
GEO;65.197330207495
GHA;130.821429199262
GIB;3371.8
GIN;50.5222122741332
GMB;225.30652173913
GNB;66.6539473684211
GNQ;46.6657397504456
GRC;83.2651823118697
GRD;327.805882352941
GRL;0.136491655500061
GTM;152.547125793206
GUM;306.977777777778
GUY;3.95734823469647
HIC;34.7828915938853
HKG;7096.19047619048
HND;85.6870319063366
HPC;44.8957816454125
HRV;73.0493745532523
HTI;403.59854862119
HUN;107.981486799956
IBD;67.3180797474796
IBT;68.6892101718745
IDA;73.040031848536
IDB;125.673773106878
IDN;147.75219008926
IDX;60.2598970012306
IMN;147.50350877193
IND;454.938072575247
INX;
IRL;70.6534475250399
IRN;50.222420123284
IRQ;88.5305700354617
ISL;3.51841396508728
ISR;410.480591497227
ITA;205.418372203713
JAM;270.993074792244
JOR;112.14249831043
JPN;347.073458415624
KAZ;6.76982572137645
KEN;90.2994166637383
KGZ;32.9655891553702
KHM;92.0564128710628
KIR;143.020987654321
KNA;201.696153846154
KOR;529.358501289308
KWT;232.172390572391
LAC;31.9740951252252
LAO;30.5957842287695
LBN;669.494134897361
LBR;50.0309073920266
LBY;3.79563238119054
LCA;298.17868852459
LCN;31.9606855829336
LDC;56.8413289019083
LIC;52.0668028036382
LIE;236.9375
LKA;345.558922022006
LMC;131.060701635225
LMY;69.1712662558264
LSO;69.437812911726
LTE;51.3900278827792
LTU;44.7230757742448
LUX;250.185185185185
LVA;30.9934705693149
MAC;20777.5002607232
MAF;
MAR;80.7285189334528
MCO;
MDA;94.2644302783293
MDG;45.1398556204881
MDV;1718.98666666667
MEA;39.9977120870057
MEX;64.9146264050001
MHL;324.516666666667
MIC;71.8641486028969
MKD;82.5915146708961
MLI;15.635015858186
MLT;1514.46875
MMR;82.2386154835549
MNA;44.3111694561864
MNE;46.2622304832714
MNG;2.04060866654651
MNP;123.65652173913
MOZ;37.508535313716
MRT;4.27216357815077
MUS;623.30197044335
MWI;192.440761561307
MYS;95.9628214883579
NAC;19.9446030981652
NAM;2.97374558175127
NCL;15.5393873085339
NER;17.7176505881424
NGA;215.064988965381
NIC;53.7270483629716
NLD;511.475927574948
NOR;14.5482916341657
NPL;195.939107080572
NRU;635.2
NZL;18.3851733697923
OED;38.0102885902071
OMN;15.6041453957997
OSS;15.1392178420061
PAK;275.289318700706
PAN;56.1860774818402
PER;24.99160625
PHL;357.688305329175
PLW;38.9282608695652
PNG;19.0043633794109
POL;124.023482151605
PRE;51.6874400219725
PRI;360.017361894025
PRK;212.190175234615
PRT;112.2619412173
PRY;17.5083589227284
PSE;758.984551495017
PSS;38.2767445482866
PST;35.2498297631402
PYF;75.8685792349727
QAT;239.593195521103
ROU;84.633801286509
RUS;8.82206795315588
RWA;498.659870287799
SAS;380.247133746081
SAU;15.6766543082956
SDN;
SEN;82.3474783150678
SGP;7952.9984184018
SLB;23.324687388353
SLE;105.987170961485
SLV;309.881467181467
SMR;563.083333333333
SOM;23.9234769024771
SRB;79.8376857992225
SSA;50.7039075235864
SSD;
SSF;50.7620843086558
SST;16.2249514526964
STP;219.820833333333
SUR;3.69225
SVK;113.285586522463
SVN;102.96366052404
SWE;24.9814981218237
SWZ;66.0576162790698
SXM;
SYC;210.352173913043
SYR;92.0671077710614
TCA;39.6473684210526
TCD;12.2917336404066
TEA;130.185452991291
TEC;19.9783003024588
TGO;145.046773303916
THA;135.897206835131
TJK;65.5727141724908
TKM;12.4505947694337
TLA;31.3689062356742
TLS;85.270477471419
TMN;43.8129297485221
TON;143.329166666667
TSA;380.247133746081
TSS;50.7620843086558
TTO;270.927485380117
TUN;74.4413233779609
TUR;106.960128893104
TUV;383.6
TZA;63.5790787988259
UGA;213.061734490325
UKR;77.0296708039151
UMC;49.3167042229663
URY;19.7080276539824
